p-th Cyclo pol,#F_q (pol factored over F_q),sparsity,ord_p(q),Factors,sparsity <= ord_p(q)?
13,3917,7,6,"[(x^6 + 964*x^5 + 2*x^4 + 963*x^3 + 2*x^2 + 964*x + 1, 7), (x^6 + 2954*x^5 + 2*x^4 + 2953*x^3 + 2*x^2 + 2954*x + 1, 7)]",False
13,3923,7,6,"[(x^6 + 109*x^5 + 2*x^4 + 108*x^3 + 2*x^2 + 109*x + 1, 7), (x^6 + 3815*x^5 + 2*x^4 + 3814*x^3 + 2*x^2 + 3815*x + 1, 7)]",False
13,3943,7,6,"[(x^6 + 959*x^5 + 2*x^4 + 958*x^3 + 2*x^2 + 959*x + 1, 7), (x^6 + 2985*x^5 + 2*x^4 + 2984*x^3 + 2*x^2 + 2985*x + 1, 7)]",False
13,4001,7,6,"[(x^6 + 1706*x^5 + 2*x^4 + 1705*x^3 + 2*x^2 + 1706*x + 1, 7), (x^6 + 2296*x^5 + 2*x^4 + 2295*x^3 + 2*x^2 + 2296*x + 1, 7)]",False
13,4021,7,6,"[(x^6 + 330*x^5 + 2*x^4 + 329*x^3 + 2*x^2 + 330*x + 1, 7), (x^6 + 3692*x^5 + 2*x^4 + 3691*x^3 + 2*x^2 + 3692*x + 1, 7)]",False
13,4027,7,6,"[(x^6 + 1783*x^5 + 2*x^4 + 1782*x^3 + 2*x^2 + 1783*x + 1, 7), (x^6 + 2245*x^5 + 2*x^4 + 2244*x^3 + 2*x^2 + 2245*x + 1, 7)]",False
13,4073,7,6,"[(x^6 + 419*x^5 + 2*x^4 + 418*x^3 + 2*x^2 + 419*x + 1, 7), (x^6 + 3655*x^5 + 2*x^4 + 3654*x^3 + 2*x^2 + 3655*x + 1, 7)]",False
13,4079,7,6,"[(x^6 + 1645*x^5 + 2*x^4 + 1644*x^3 + 2*x^2 + 1645*x + 1, 7), (x^6 + 2435*x^5 + 2*x^4 + 2434*x^3 + 2*x^2 + 2435*x + 1, 7)]",False
13,4099,7,6,"[(x^6 + 1918*x^5 + 2*x^4 + 1917*x^3 + 2*x^2 + 1918*x + 1, 7), (x^6 + 2182*x^5 + 2*x^4 + 2181*x^3 + 2*x^2 + 2182*x + 1, 7)]",False
13,4157,7,6,"[(x^6 + 65*x^5 + 2*x^4 + 64*x^3 + 2*x^2 + 65*x + 1, 7), (x^6 + 4093*x^5 + 2*x^4 + 4092*x^3 + 2*x^2 + 4093*x + 1, 7)]",False
13,4177,7,6,"[(x^6 + 2033*x^5 + 2*x^4 + 2032*x^3 + 2*x^2 + 2033*x + 1, 7), (x^6 + 2145*x^5 + 2*x^4 + 2144*x^3 + 2*x^2 + 2145*x + 1, 7)]",False
13,4229,7,6,"[(x^6 + 1785*x^5 + 2*x^4 + 1784*x^3 + 2*x^2 + 1785*x + 1, 7), (x^6 + 2445*x^5 + 2*x^4 + 2444*x^3 + 2*x^2 + 2445*x + 1, 7)]",False
13,4261,7,6,"[(x^6 + 1399*x^5 + 2*x^4 + 1398*x^3 + 2*x^2 + 1399*x + 1, 7), (x^6 + 2863*x^5 + 2*x^4 + 2862*x^3 + 2*x^2 + 2863*x + 1, 7)]",False
13,4339,7,6,"[(x^6 + 1642*x^5 + 2*x^4 + 1641*x^3 + 2*x^2 + 1642*x + 1, 7), (x^6 + 2698*x^5 + 2*x^4 + 2697*x^3 + 2*x^2 + 2698*x + 1, 7)]",False
13,4391,7,6,"[(x^6 + 1127*x^5 + 2*x^4 + 1126*x^3 + 2*x^2 + 1127*x + 1, 7), (x^6 + 3265*x^5 + 2*x^4 + 3264*x^3 + 2*x^2 + 3265*x + 1, 7)]",False
13,4463,7,6,"[(x^6 + 1580*x^5 + 2*x^4 + 1579*x^3 + 2*x^2 + 1580*x + 1, 7), (x^6 + 2884*x^5 + 2*x^4 + 2883*x^3 + 2*x^2 + 2884*x + 1, 7)]",False
13,4547,7,6,"[(x^6 + 980*x^5 + 2*x^4 + 979*x^3 + 2*x^2 + 980*x + 1, 7), (x^6 + 3568*x^5 + 2*x^4 + 3567*x^3 + 2*x^2 + 3568*x + 1, 7)]",False
13,4567,7,6,"[(x^6 + 2038*x^5 + 2*x^4 + 2037*x^3 + 2*x^2 + 2038*x + 1, 7), (x^6 + 2530*x^5 + 2*x^4 + 2529*x^3 + 2*x^2 + 2530*x + 1, 7)]",False
13,4651,7,6,"[(x^6 + 567*x^5 + 2*x^4 + 566*x^3 + 2*x^2 + 567*x + 1, 7), (x^6 + 4085*x^5 + 2*x^4 + 4084*x^3 + 2*x^2 + 4085*x + 1, 7)]",False
13,4703,7,6,"[(x^6 + 1206*x^5 + 2*x^4 + 1205*x^3 + 2*x^2 + 1206*x + 1, 7), (x^6 + 3498*x^5 + 2*x^4 + 3497*x^3 + 2*x^2 + 3498*x + 1, 7)]",False
13,4723,7,6,"[(x^6 + 1833*x^5 + 2*x^4 + 1832*x^3 + 2*x^2 + 1833*x + 1, 7), (x^6 + 2891*x^5 + 2*x^4 + 2890*x^3 + 2*x^2 + 2891*x + 1, 7)]",False
13,4729,7,6,"[(x^6 + 905*x^5 + 2*x^4 + 904*x^3 + 2*x^2 + 905*x + 1, 7), (x^6 + 3825*x^5 + 2*x^4 + 3824*x^3 + 2*x^2 + 3825*x + 1, 7)]",False
13,4801,7,6,"[(x^6 + 1624*x^5 + 2*x^4 + 1623*x^3 + 2*x^2 + 1624*x + 1, 7), (x^6 + 3178*x^5 + 2*x^4 + 3177*x^3 + 2*x^2 + 3178*x + 1, 7)]",False
13,4931,7,6,"[(x^6 + 2150*x^5 + 2*x^4 + 2149*x^3 + 2*x^2 + 2150*x + 1, 7), (x^6 + 2782*x^5 + 2*x^4 + 2781*x^3 + 2*x^2 + 2782*x + 1, 7)]",False
13,4937,7,6,"[(x^6 + 2026*x^5 + 2*x^4 + 2025*x^3 + 2*x^2 + 2026*x + 1, 7), (x^6 + 2912*x^5 + 2*x^4 + 2911*x^3 + 2*x^2 + 2912*x + 1, 7)]",False
13,4957,7,6,"[(x^6 + 2418*x^5 + 2*x^4 + 2417*x^3 + 2*x^2 + 2418*x + 1, 7), (x^6 + 2540*x^5 + 2*x^4 + 2539*x^3 + 2*x^2 + 2540*x + 1, 7)]",False
13,5009,7,6,"[(x^6 + 2284*x^5 + 2*x^4 + 2283*x^3 + 2*x^2 + 2284*x + 1, 7), (x^6 + 2726*x^5 + 2*x^4 + 2725*x^3 + 2*x^2 + 2726*x + 1, 7)]",False
13,5087,7,6,"[(x^6 + 2437*x^5 + 2*x^4 + 2436*x^3 + 2*x^2 + 2437*x + 1, 7), (x^6 + 2651*x^5 + 2*x^4 + 2650*x^3 + 2*x^2 + 2651*x + 1, 7)]",False
13,5113,7,6,"[(x^6 + 1891*x^5 + 2*x^4 + 1890*x^3 + 2*x^2 + 1891*x + 1, 7), (x^6 + 3223*x^5 + 2*x^4 + 3222*x^3 + 2*x^2 + 3223*x + 1, 7)]",False
13,5119,7,6,"[(x^6 + 1408*x^5 + 2*x^4 + 1407*x^3 + 2*x^2 + 1408*x + 1, 7), (x^6 + 3712*x^5 + 2*x^4 + 3711*x^3 + 2*x^2 + 3712*x + 1, 7)]",False
13,5171,7,6,"[(x^6 + 2550*x^5 + 2*x^4 + 2549*x^3 + 2*x^2 + 2550*x + 1, 7), (x^6 + 2622*x^5 + 2*x^4 + 2621*x^3 + 2*x^2 + 2622*x + 1, 7)]",False
13,5197,7,6,"[(x^6 + 725*x^5 + 2*x^4 + 724*x^3 + 2*x^2 + 725*x + 1, 7), (x^6 + 4473*x^5 + 2*x^4 + 4472*x^3 + 2*x^2 + 4473*x + 1, 7)]",False
13,5347,7,6,"[(x^6 + 302*x^5 + 2*x^4 + 301*x^3 + 2*x^2 + 302*x + 1, 7), (x^6 + 5046*x^5 + 2*x^4 + 5045*x^3 + 2*x^2 + 5046*x + 1, 7)]",False
13,5399,7,6,"[(x^6 + 74*x^5 + 2*x^4 + 73*x^3 + 2*x^2 + 74*x + 1, 7), (x^6 + 5326*x^5 + 2*x^4 + 5325*x^3 + 2*x^2 + 5326*x + 1, 7)]",False
13,5431,7,6,"[(x^6 + 1454*x^5 + 2*x^4 + 1453*x^3 + 2*x^2 + 1454*x + 1, 7), (x^6 + 3978*x^5 + 2*x^4 + 3977*x^3 + 2*x^2 + 3978*x + 1, 7)]",False
