p-th Cyclo pol,qMin = #elements in `sparsest field`,sparsity,ord_p(qMin),sparsity <= ord_p(qMin)?
4691,29,62,67,True
4703,2,1211,2351,True
4721,2,137,295,True
4723,5,1231,1574,True
4729,2,377,788,True
4733,7,4,7,True
4751,17,113,125,True
4759,7,48,61,True
4783,23,756,797,True
4787,3,1601,2393,True
4789,23,30,36,True
4793,19,567,599,True
4799,2,1235,2399,True
4801,29,93,100,True
4813,17,377,401,True
4817,7,251,301,True
4831,11,308,345,True
4861,5,56,81,True
4871,2,227,487,True
4877,11,1094,1219,True
4889,23,584,611,True
4903,11,732,817,True
4909,5,319,409,True
4919,2,1191,2459,True
4931,7,67,85,True
4933,3,85,137,True
4937,11,553,617,True
4943,29,335,353,True
4951,11,93,110,True
4957,3,274,413,True
4967,2,1243,2483,True
4969,3,129,207,True
4973,11,2239,2486,True
4987,23,263,277,True
4993,2,275,624,True
4999,5,87,119,True
5003,3,1613,2501,True
5009,7,1063,1252,True
5011,7,419,501,True
5021,2,479,1004,True
5023,5,121,162,True
5039,2,1247,2519,True
5051,5,398,505,True
5059,23,266,281,True
5077,5,133,188,True
5081,23,33,40,True
5087,2,1255,2543,True
5099,3,1757,2549,True
5101,17,67,75,True
5107,3,80,138,True
5113,3,137,213,True
5119,13,784,853,True
5147,3,1679,2573,True
5153,2,39,112,True
5167,5,10,18,True
5171,3,144,235,True
5179,5,672,863,True
5189,5,1010,1297,True
5197,13,386,433,True
5209,2,87,217,True
5227,5,15,26,True
5231,13,953,1046,True
5233,7,173,218,True
5237,19,23,28,True
5261,19,246,263,True
5273,7,562,659,True
5279,2,169,377,True
5281,5,11,22,True
5297,2,299,662,True
5303,2,1367,2651,True
5309,5,1055,1327,True
5323,7,759,887,True
5333,11,71,86,True
5347,2,87,198,True
5351,17,21,25,True
5381,2,513,1076,True
5387,3,1811,2693,True
5393,2,601,1348,True
5399,2,1375,2699,True
5407,5,243,318,True
5413,11,404,451,True
5417,11,1217,1354,True
5419,2,13,42,True
5431,13,160,181,True
5437,23,277,302,True
5441,17,75,85,True
5443,13,829,907,True
5449,17,208,227,True
5471,2,259,547,True
5477,13,1246,1369,True
5479,5,714,913,True
5483,3,1877,2741,True
5501,3,18,44,True
5503,2,443,917,True
5507,3,1820,2753,True
5519,2,1383,2759,True
5521,19,123,138,True
5527,3,1177,1842,True
5531,3,250,395,True
5557,19,433,463,True
5563,13,91,103,True
5569,5,62,87,True
5573,13,181,199,True
5581,2,49,124,True
5591,3,372,559,True
5623,11,854,937,True
5639,2,1423,2819,True
5641,23,220,235,True
5647,2,1455,2823,True
5651,13,100,113,True
5653,17,13,18,True
5657,11,632,707,True
5659,13,857,943,True
5669,17,198,218,True
5683,11,861,947,True
5689,23,29,36,True
5693,7,1217,1423,True
5701,11,426,475,True
5711,2,265,571,True
5717,13,1318,1429,True
5737,2,107,239,True
5741,13,1034,1148,True
5743,7,213,261,True
5749,29,911,958,True
5779,19,295,321,True
5783,13,98,118,True
5791,23,1091,1158,True
5801,17,85,100,True
5807,2,1415,2903,True
5813,17,1364,1453,True
5821,2,165,388,True
5827,11,880,971,True
5839,5,327,417,True
5843,3,80,127,True
5849,7,629,731,True
5851,11,200,225,True
5857,17,220,244,True
5861,2,563,1172,True
5867,2,367,838,True
5869,17,146,163,True
5879,2,1463,2939,True
5881,29,469,490,True
5897,13,487,536,True
5903,2,1487,2951,True
5923,13,762,846,True
5927,2,1423,2963,True
5939,3,1952,2969,True
5953,13,441,496,True
5981,29,119,130,True
5987,3,1946,2993,True
6007,7,387,462,True
6011,3,399,601,True
6029,5,1188,1507,True
6037,11,899,1006,True
6043,11,97,114,True
6047,2,1563,3023,True
6053,13,321,356,True
6067,11,300,337,True
6073,23,57,66,True
6079,2,493,1013,True
6089,2,365,761,True
6091,3,29,58,True
6101,3,810,1220,True
6113,23,178,191,True
6121,23,61,68,True
6131,17,1149,1226,True
6133,7,853,1022,True
6143,2,1555,3071,True
6151,2,507,1025,True
6163,13,923,1027,True
6173,23,1483,1543,True
6197,7,1326,1549,True
6199,5,813,1033,True
6203,17,407,443,True
6211,5,47,69,True
6217,7,90,111,True
6221,2,591,1244,True
6229,29,325,346,True
6247,11,306,347,True
6257,17,167,184,True
6263,7,82,101,True
6269,5,1254,1567,True
6271,5,11,19,True
6277,17,488,523,True
6287,5,707,898,True
6299,3,2093,3149,True
6301,13,55,63,True
6311,3,411,631,True
6317,11,1425,1579,True
