p-th Cyclo pol,#F_q (pol factored over F_q),sparsity,ord_p(q),Factors,sparsity <= ord_p(q)?
11,911,6,5,"[(x^5 + 441*x^4 + 910*x^3 + x^2 + 440*x + 910, 6), (x^5 + 471*x^4 + 910*x^3 + x^2 + 470*x + 910, 6)]",False
11,929,6,5,"[(x^5 + 406*x^4 + 928*x^3 + x^2 + 405*x + 928, 6), (x^5 + 524*x^4 + 928*x^3 + x^2 + 523*x + 928, 6)]",False
11,971,6,5,"[(x^5 + 301*x^4 + 970*x^3 + x^2 + 300*x + 970, 6), (x^5 + 671*x^4 + 970*x^3 + x^2 + 670*x + 970, 6)]",False
11,977,6,5,"[(x^5 + 402*x^4 + 976*x^3 + x^2 + 401*x + 976, 6), (x^5 + 576*x^4 + 976*x^3 + x^2 + 575*x + 976, 6)]",False
11,983,6,5,"[(x^5 + 445*x^4 + 982*x^3 + x^2 + 444*x + 982, 6), (x^5 + 539*x^4 + 982*x^3 + x^2 + 538*x + 982, 6)]",False
11,1021,6,5,"[(x^5 + 428*x^4 + 1020*x^3 + x^2 + 427*x + 1020, 6), (x^5 + 594*x^4 + 1020*x^3 + x^2 + 593*x + 1020, 6)]",False
11,1039,6,5,"[(x^5 + 484*x^4 + 1038*x^3 + x^2 + 483*x + 1038, 6), (x^5 + 556*x^4 + 1038*x^3 + x^2 + 555*x + 1038, 6)]",False
11,1049,6,5,"[(x^5 + 497*x^4 + 1048*x^3 + x^2 + 496*x + 1048, 6), (x^5 + 553*x^4 + 1048*x^3 + x^2 + 552*x + 1048, 6)]",False
11,1061,6,5,"[(x^5 + 219*x^4 + 1060*x^3 + x^2 + 218*x + 1060, 6), (x^5 + 843*x^4 + 1060*x^3 + x^2 + 842*x + 1060, 6)]",False
11,1087,6,5,"[(x^5 + 424*x^4 + 1086*x^3 + x^2 + 423*x + 1086, 6), (x^5 + 664*x^4 + 1086*x^3 + x^2 + 663*x + 1086, 6)]",False
11,1093,6,5,"[(x^5 + 483*x^4 + 1092*x^3 + x^2 + 482*x + 1092, 6), (x^5 + 611*x^4 + 1092*x^3 + x^2 + 610*x + 1092, 6)]",False
11,1103,6,5,"[(x^5 + 58*x^4 + 1102*x^3 + x^2 + 57*x + 1102, 6), (x^5 + 1046*x^4 + 1102*x^3 + x^2 + 1045*x + 1102, 6)]",False
11,1109,6,5,"[(x^5 + 167*x^4 + 1108*x^3 + x^2 + 166*x + 1108, 6), (x^5 + 943*x^4 + 1108*x^3 + x^2 + 942*x + 1108, 6)]",False
11,1153,6,5,"[(x^5 + 132*x^4 + 1152*x^3 + x^2 + 131*x + 1152, 6), (x^5 + 1022*x^4 + 1152*x^3 + x^2 + 1021*x + 1152, 6)]",False
11,1171,6,5,"[(x^5 + 77*x^4 + 1170*x^3 + x^2 + 76*x + 1170, 6), (x^5 + 1095*x^4 + 1170*x^3 + x^2 + 1094*x + 1170, 6)]",False
