p-th Cyclo pol,qMin = #elements in `sparsest field`,sparsity,ord_p(qMin),sparsity <= ord_p(qMin)?
929,11,417,464,True
929,19,107,116,True
929,23,105,116,True
929,29,443,464,True
937,2,57,117,True
937,3,135,234,True
937,13,14,18,True
937,17,435,468,True
937,19,441,468,True
937,23,19,24,True
937,29,223,234,True
941,5,190,235,True
941,23,17,20,True
941,29,451,470,True
947,3,329,473,True
947,7,63,86,True
947,17,16,22,True
953,2,27,68,True
953,7,205,238,True
953,13,443,476,True
953,17,445,476,True
953,29,225,238,True
967,2,235,483,True
967,3,196,322,True
967,11,147,161,True
967,17,148,161,True
967,23,305,322,True
967,29,309,322,True
971,2,85,194,True
971,3,335,485,True
971,5,369,485,True
971,7,81,97,True
971,13,89,97,True
971,17,465,485,True
971,19,466,485,True
971,23,467,485,True
977,2,231,488,True
977,7,413,488,True
977,11,447,488,True
977,17,449,488,True
977,29,467,488,True
983,2,239,491,True
983,3,320,491,True
983,7,416,491,True
983,19,465,491,True
983,23,471,491,True
991,2,243,495,True
991,3,217,330,True
991,5,373,495,True
991,13,455,495,True
991,17,55,66,True
991,19,460,495,True
991,29,154,165,True
997,2,139,332,True
997,3,98,166,True
997,5,243,332,True
997,13,229,249,True
997,19,235,249,True
997,23,241,249,True
1009,2,251,504,True
1009,3,110,168,True
1009,5,386,504,True
1009,7,199,252,True
1009,13,43,48,True
1009,19,43,48,True
1009,23,326,336,True
1009,29,487,504,True
1013,2,37,92,True
1013,11,37,46,True
1013,13,459,506,True
1013,19,234,253,True
1013,23,39,46,True
1019,3,341,509,True
1019,5,412,509,True
1019,11,455,509,True
1019,17,475,509,True
1019,19,471,509,True
1019,23,498,509,True
1019,29,496,509,True
1021,2,155,340,True
1021,3,16,34,True
1021,5,195,255,True
1021,7,295,340,True
1021,11,234,255,True
1021,13,60,68,True
1021,17,467,510,True
1021,19,187,204,True
1021,23,245,255,True
1021,29,491,510,True
1031,2,283,515,True
1031,3,356,515,True
1031,5,423,515,True
1031,7,179,206,True
1031,11,468,515,True
1031,13,472,515,True
1031,17,184,206,True
1031,19,191,206,True
1031,23,502,515,True
1031,29,98,103,True
1033,2,127,258,True
1033,3,313,516,True
1033,7,143,172,True
1033,17,491,516,True
1033,19,122,129,True
1039,2,255,519,True
1039,5,131,173,True
1039,7,441,519,True
1039,13,471,519,True
1039,17,486,519,True
1039,19,485,519,True
1039,23,331,346,True
1039,29,503,519,True
1049,2,119,262,True
1049,5,415,524,True
1049,11,481,524,True
1049,13,230,262,True
1049,19,125,131,True
1049,29,243,262,True
1051,2,165,350,True
1051,3,124,210,True
1051,5,420,525,True
1051,11,463,525,True
1051,19,198,210,True
1051,29,518,525,True
1061,5,204,265,True
1061,7,230,265,True
1061,11,485,530,True
1061,13,194,212,True
1061,17,195,212,True
1061,19,251,265,True
1061,23,499,530,True
1061,29,17,20,True
1063,2,271,531,True
1063,5,281,354,True
1063,7,6,9,True
1063,11,492,531,True
1063,13,160,177,True
1063,17,55,59,True
1063,19,505,531,True
1063,23,509,531,True
1069,2,161,356,True
1069,3,345,534,True
1069,5,211,267,True
1069,13,483,534,True
1069,17,253,267,True
1069,19,503,534,True
1069,29,84,89,True
1087,2,271,543,True
1087,5,269,362,True
1087,7,305,362,True
1087,11,327,362,True
1087,17,170,181,True
1087,19,345,362,True
1087,23,339,362,True
1091,3,69,109,True
1091,5,78,109,True
1091,7,468,545,True
1091,11,502,545,True
1091,13,94,109,True
1091,19,516,545,True
1091,23,533,545,True
1093,2,155,364,True
1093,3,3,7,True
1093,7,239,273,True
1093,11,10,13,True
1093,13,35,39,True
1093,17,73,84,True
1093,23,88,91,True
1093,29,263,273,True
1097,2,127,274,True
1097,17,505,548,True
1097,23,511,548,True
1097,29,525,548,True
1103,2,13,29,True
1103,3,368,551,True
1103,17,17,19,True
1103,23,521,551,True
1103,29,536,551,True
